TDEP,Cons,CAL,GR,LLD,LLS,RHOB,NPHI,PEF,DT,PHIF  (%),PHIf
2786.375,1,0.633,92.9465,3227.5078,296.3704,2.654,0.048,2.986,51.7354,0.0228,0.0002
2786.5,1,0.61,90.1989,5746.8472,297.5143,2.642,0.039,2.962,51.4835,0.0214,0.0002
2786.625,1,0.587,89.2527,7574.4692,312.0458,2.64,0.032,2.944,51.4465,0.0176,0.0002
2786.75,1,0.556,87.1264,6891.335,320.037,2.657,0.026,3,51.7503,0.0093,0.0001
2786.875,1,0.556,87.7307,5551.4824,314.0791,2.6515,0.029,3.016,51.7031,0.0122,0.0001
2787,1,0.556,87.897,4211.6304,308.1202,2.646,0.032,3.032,51.6559,0.0155,0.0002
2787.125,1,0.533,90.4004,2027.8021,289.9145,2.649,0.05,3.103,51.6259,0.0265,0.0003
2787.25,1,0.533,91.942,1582.9076,287.5006,2.634,0.048,3.017,51.9495,0.0322,0.0003
2787.375,1,0.54,91.0467,1366.3574,275.244,2.624,0.057,3.063,52.7332,0.0471,0.0005
2787.5,1,0.548,92.0557,818.7162,251.3382,2.607,0.091,3.266,53.7304,0.1124,0.0011
2787.625,1,0.544,91.6734,711.0899,242.9204,2.615,0.0805,3.388,53.786,0.0861,0.0009
2787.75,1,0.54,91.375,603.4637,234.5031,2.623,0.07,3.51,53.8416,0.0638,0.0006
2787.875,1,0.533,87.6664,658.7869,243.2059,2.625,0.067,3.023,53.9082,0.0583,0.0006
2788,1,0.533,85.7004,1017.3666,265.4951,2.643,0.044,3.037,53.2008,0.0246,0.0002
2788.125,1,0.533,88.1693,1367.9318,270.3504,2.631,0.036,3.104,52.9142,0.0239,0.0002
2788.25,1,0.517,93.5313,1413.2866,268.8299,2.611,0.046,3.185,52.0737,0.0434,0.0004
2788.375,1,0.517,98.4582,1459.4232,269.5461,2.6125,0.0435,3.217,52.2394,0.0399,0.0004
2788.5,1,0.517,100.257,1505.5597,270.2623,2.614,0.041,3.249,52.4052,0.0366,0.0004
2788.625,1,0.521,101.231,2121.9131,282.986,2.628,0.048,3.106,52.1669,0.0354,0.0004
2788.75,1,0.521,102.143,2260.5564,289.8689,2.624,0.023,2.859,52.3193,0.0178,0.0002
2788.875,1,0.521,102.038,2627.5986,299.9882,2.655,0.029,2.935,52.2374,0.0112,0.0001
2789,1,0.519,101.353,2695.9402,301.1864,2.6375,0.0305,2.9505,52.226,0.0176,0.0002
2789.125,1,0.517,101.551,2764.282,302.3844,2.62,0.032,2.966,52.2145,0.0257,0.0003
2789.25,1,0.517,100.768,2502.6233,304.1633,2.613,0.03,2.917,52.3251,0.0274,0.0003
2789.375,1,0.525,97.0767,2815.707,302.8282,2.63,0.028,2.948,52.2068,0.0187,0.0002
2789.5,1,0.517,96.1067,2504.4387,297.4945,2.607,0.024,2.882,52.0865,0.0254,0.0003
2789.625,1,0.533,101.877,2221.5408,290.4165,2.615,0.031,2.91,52.5475,0.0272,0.0003
2789.75,1,0.5445,108.239,2400.9768,298.0615,2.6325,0.0325,2.927,52.7729,0.0208,0.0002
2789.875,1,0.556,109.563,2580.4136,305.7109,2.65,0.034,2.944,52.9983,0.0153,0.0002
